====== cProfile: ./utility/ias_client/cprof_ias_client.py ======

127.0.0.1 - - [03/May/2018 07:27:30] "POST /attestation/sgx/v2/report HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2018 07:27:30] "GET /attestation/sgx/v2/sigrl/gid HTTP/1.1" 200 -
         13991 function calls (13588 primitive calls) in 0.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 feedparser.py:199(_new_message)
        2    0.000    0.000    0.001    0.000 models.py:74(_encode_params)
       14    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.001    0.000 client.py:469(readinto)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1732(__iter__)
        2    0.000    0.000    0.001    0.001 sre_parse.py:819(parse)
        5    0.000    0.000    0.000    0.000 _policybase.py:307(header_fetch_parse)
        6    0.000    0.000    0.000    0.000 threading.py:213(__init__)
        2    0.000    0.000    0.000    0.000 parse.py:731(quote_from_bytes)
        9    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 socket.py:129(__init__)
        2    0.000    0.000    0.002    0.001 client.py:924(_send_output)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1713(clear_expired_cookies)
       14    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 big5freq.py:43(<module>)
       12    0.000    0.000    0.000    0.000 hooks.py:18(<genexpr>)
        2    0.000    0.000    0.000    0.000 models.py:538(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method utcnow}
        2    0.000    0.000    0.003    0.002 adapters.py:242(get_connection)
        4    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        4    0.000    0.000    0.000    0.000 {method 'readinto' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 enum.py:215(__call__)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        6    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
        2    0.000    0.000    0.001    0.000 feedparser.py:186(close)
        1    0.000    0.000    0.002    0.002 shlex.py:1(<module>)
        4    0.000    0.000    0.002    0.000 models.py:656(generate)
        8    0.000    0.000    0.000    0.000 message.py:607(get_default_type)
        2    0.000    0.000    0.000    0.000 client.py:227(__init__)
        5    0.000    0.000    0.000    0.000 message.py:480(set_raw)
       11    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 sessions.py:636(get_adapter)
        4    0.000    0.000    0.000    0.000 socket.py:87(_intenum_converter)
        4    0.000    0.000    0.000    0.000 timeout.py:156(clone)
        1    0.000    0.000    0.001    0.001 escprober.py:28(<module>)
        1    0.000    0.000    0.003    0.003 latin1prober.py:29(<module>)
        2    0.000    0.000    0.000    0.000 models.py:209(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 message.py:460(<listcomp>)
        6    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        4    0.000    0.000    0.000    0.000 _collections.py:50(__getitem__)
        2    0.000    0.000    0.063    0.032 models.py:747(text)
        2    0.000    0.000    0.002    0.001 poolmanager.py:102(connection_from_host)
        2    0.000    0.000    0.002    0.001 universaldetector.py:45(__init__)
        2    0.000    0.000    0.001    0.000 cookies.py:133(get_cookie_header)
        6    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        5    0.000    0.000    0.003    0.001 re.py:222(compile)
        8    0.000    0.000    0.000    0.000 socket.py:600(readable)
        4    0.000    0.000    0.000    0.000 contextlib.py:131(helper)
        1    0.000    0.000    0.003    0.003 utf8prober.py:28(<module>)
        4    0.000    0.000    0.000    0.000 adapters.py:121(init_poolmanager)
        2    0.000    0.000    0.002    0.001 sessions.py:646(close)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        2    0.000    0.000    0.000    0.000 utils.py:677(get_auth_from_url)
        2    0.000    0.000    0.000    0.000 universaldetector.py:64(feed)
        2    0.000    0.000    0.002    0.001 feedparser.py:175(feed)
        2    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
        2    0.000    0.000    0.001    0.000 utils.py:585(default_headers)
        4    0.000    0.000    0.000    0.000 sessions.py:651(mount)
        2    0.000    0.000    0.003    0.001 models.py:401(prepare_headers)
        1    0.000    0.000    0.147    0.147 cprof_ias_client.py:11(do_post_verify_attestation)
        7    0.000    0.000    0.000    0.000 _collections.py:180(__iter__)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        4    0.000    0.000    0.000    0.000 contextlib.py:37(__init__)
        6    0.000    0.000    0.000    0.000 response.py:7(is_fp_closed)
        2    0.000    0.000    0.000    0.000 feedparser.py:69(close)
        4    0.000    0.000    0.000    0.000 contextlib.py:57(__enter__)
        4    0.000    0.000    0.000    0.000 contextlib.py:63(__exit__)
        1    0.000    0.000    0.000    0.000 models.py:785(json)
        2    0.000    0.000    0.004    0.002 utils.py:513(should_bypass_proxies)
        4    0.000    0.000    0.002    0.001 adapters.py:264(close)
        2    0.000    0.000    0.000    0.000 client.py:370(_check_close)
        4    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        2    0.000    0.000    0.000    0.000 utils.py:421(unquote_unreserved)
        2    0.000    0.000    0.001    0.000 connectionpool.py:215(_get_conn)
        1    0.000    0.000    0.020    0.020 ias_client.py:38(get_signature_revocation_lists)
        2    0.000    0.000    0.001    0.000 adapters.py:272(request_url)
        2    0.000    0.000    0.001    0.001 sre_compile.py:516(_code)
        2    0.000    0.000    0.000    0.000 utils.py:517(<lambda>)
        2    0.000    0.000    0.000    0.000 client.py:749(__init__)
        2    0.000    0.000    0.000    0.000 _collections.py:135(__init__)
        2    0.000    0.000    0.000    0.000 parse.py:753(urlencode)
